trial,cold_or_warm,start_ts,end_ts,elapsed_seconds
1,cold,2026-08-11T21:44:12.5757907+05:30,2026-08-11T21:44:19.3608815+05:30,4.7
2,warm,2026-08-11T21:44:23.3068266+05:30,2026-08-11T21:44:31.7958827+05:30,6.69
3,warm,2026-08-11T21:44:35.6380897+05:30,2026-08-11T21:44:39.2405702+05:30,1.8
4,warm,2026-08-11T21:44:43.0705833+05:30,2026-08-11T21:44:46.6739401+05:30,1.79
5,warm,2026-08-11T21:44:50.5636786+05:30,2026-08-11T21:44:54.3884333+05:30,1.86
6,warm,2026-08-11T21:44:58.2445873+05:30,2026-08-11T21:45:01.8579129+05:30,1.76
7,warm,2026-08-11T21:45:05.6345350+05:30,2026-08-11T21:45:09.2815002+05:30,1.79
8,warm,2026-08-11T21:45:13.0791029+05:30,2026-08-11T21:45:16.9411833+05:30,1.8
9,warm,2026-08-11T21:45:20.7273723+05:30,2026-08-11T21:45:24.5112571+05:30,1.85
10,warm,2026-08-11T21:45:28.3278952+05:30,2026-08-11T21:45:36.5884828+05:30,6.3
11,warm,2026-08-11T21:45:40.4641817+05:30,2026-08-11T21:45:44.1692975+05:30,1.76
12,warm,2026-08-11T21:45:48.0066364+05:30,2026-08-11T21:45:51.9404167+05:30,1.87
13,warm,2026-08-11T21:45:55.7942165+05:30,2026-08-11T21:45:59.4187097+05:30,1.77
14,warm,2026-08-11T21:46:03.3106450+05:30,2026-08-11T21:46:07.0091080+05:30,1.78
15,warm,2026-08-11T21:46:10.8059814+05:30,2026-08-11T21:46:17.1454970+05:30,4.29
