trial,start_ts,end_ts,elapsed_seconds
1,2026-08-11T21:46:22.8634407+05:30,2026-08-11T21:46:58.0419690+05:30,1.73
2,2026-08-11T21:47:02.7338658+05:30,2026-08-11T21:47:22.7436965+05:30,1.69
3,2026-08-11T21:47:27.4444166+05:30,2026-08-11T21:48:02.1113041+05:30,1.7
4,2026-08-11T21:48:06.7879067+05:30,2026-08-11T21:48:14.9364384+05:30,1.8
5,2026-08-11T21:48:19.7405276+05:30,2026-08-11T21:48:54.3118945+05:30,1.77
6,2026-08-11T21:48:59.0705433+05:30,2026-08-11T21:49:09.6809603+05:30,1.75
7,2026-08-11T21:49:14.5335028+05:30,2026-08-11T21:49:50.3107403+05:30,1.73
8,2026-08-11T21:49:55.0810393+05:30,2026-08-11T21:50:03.5102389+05:30,1.76
9,2026-08-11T21:50:08.3259688+05:30,2026-08-11T21:50:42.9021469+05:30,1.77
10,2026-08-11T21:50:47.6531033+05:30,2026-08-11T21:50:59.1705550+05:30,1.69
11,2026-08-11T21:51:03.8856889+05:30,2026-08-11T21:51:38.6692238+05:30,1.75
12,2026-08-11T21:51:43.5108213+05:30,2026-08-11T21:51:56.3405331+05:30,1.73
13,2026-08-11T21:52:01.0758635+05:30,2026-08-11T21:52:36.6896705+05:30,1.67
14,2026-08-11T21:52:41.3123793+05:30,2026-08-11T21:52:50.8242076+05:30,1.63
15,2026-08-11T21:52:55.4839514+05:30,2026-08-11T21:53:31.0408590+05:30,1.62
