trial,direction,from_replicas,to_replicas,start_ts,end_ts,elapsed_seconds
1,scale_out,1,3,2026-08-11T21:53:37.5654724+05:30,2026-08-11T21:53:43.0875299+05:30,3.85
1,scale_in,3,1,2026-08-11T21:53:43.0978371+05:30,2026-08-11T21:53:46.4606439+05:30,1.67
2,scale_out,1,3,2026-08-11T21:53:46.4646229+05:30,2026-08-11T21:53:54.2239436+05:30,6.03
2,scale_in,3,1,2026-08-11T21:53:54.2290692+05:30,2026-08-11T21:53:57.7272246+05:30,1.68
3,scale_out,1,3,2026-08-11T21:53:57.7332827+05:30,2026-08-11T21:54:03.3397262+05:30,3.93
3,scale_in,3,1,2026-08-11T21:54:03.3444756+05:30,2026-08-11T21:54:06.8822774+05:30,1.84
4,scale_out,1,3,2026-08-11T21:54:06.8921702+05:30,2026-08-11T21:54:14.9600004+05:30,6.29
4,scale_in,3,1,2026-08-11T21:54:14.9659710+05:30,2026-08-11T21:54:18.8677842+05:30,2.03
5,scale_out,1,3,2026-08-11T21:54:18.8757507+05:30,2026-08-11T21:54:26.6918107+05:30,6.09
5,scale_in,3,1,2026-08-11T21:54:26.6966986+05:30,2026-08-11T21:54:30.2088708+05:30,1.78
6,scale_out,1,3,2026-08-11T21:54:30.2128980+05:30,2026-08-11T21:54:40.3213164+05:30,8.39
6,scale_in,3,1,2026-08-11T21:54:40.3268618+05:30,2026-08-11T21:54:43.9923031+05:30,1.69
7,scale_out,1,3,2026-08-11T21:54:43.9969142+05:30,2026-08-11T21:54:51.8176507+05:30,6.13
7,scale_in,3,1,2026-08-11T21:54:51.8231327+05:30,2026-08-11T21:54:55.3496657+05:30,1.73
8,scale_out,1,3,2026-08-11T21:54:55.3537425+05:30,2026-08-11T21:55:05.6297151+05:30,8.53
8,scale_in,3,1,2026-08-11T21:55:05.6353072+05:30,2026-08-11T21:55:09.1429721+05:30,1.71
9,scale_out,1,3,2026-08-11T21:55:09.1470167+05:30,2026-08-11T21:55:19.5105259+05:30,8.66
9,scale_in,3,1,2026-08-11T21:55:19.5166114+05:30,2026-08-11T21:55:23.1262967+05:30,1.86
10,scale_out,1,3,2026-08-11T21:55:23.1318977+05:30,2026-08-11T21:55:35.4060127+05:30,10.52
10,scale_in,3,1,2026-08-11T21:55:35.4089759+05:30,2026-08-11T21:55:39.0575575+05:30,1.81
11,scale_out,1,3,2026-08-11T21:55:39.0623336+05:30,2026-08-11T21:55:46.7774285+05:30,6.01
11,scale_in,3,1,2026-08-11T21:55:46.7843459+05:30,2026-08-11T21:55:50.2184712+05:30,1.7
12,scale_out,1,3,2026-08-11T21:55:50.2204824+05:30,2026-08-11T21:56:00.0873739+05:30,8.16
12,scale_in,3,1,2026-08-11T21:56:00.0908272+05:30,2026-08-11T21:56:03.4472738+05:30,1.65
13,scale_out,1,3,2026-08-11T21:56:03.4525634+05:30,2026-08-11T21:56:11.3811497+05:30,6.27
13,scale_in,3,1,2026-08-11T21:56:11.3869820+05:30,2026-08-11T21:56:14.7490920+05:30,1.68
14,scale_out,1,3,2026-08-11T21:56:14.7509539+05:30,2026-08-11T21:56:24.7843562+05:30,8.35
14,scale_in,3,1,2026-08-11T21:56:24.7889795+05:30,2026-08-11T21:56:28.1676871+05:30,1.66
15,scale_out,1,3,2026-08-11T21:56:28.1711173+05:30,2026-08-11T21:56:38.0868768+05:30,8.24
15,scale_in,3,1,2026-08-11T21:56:38.0926408+05:30,2026-08-11T21:56:41.5060689+05:30,1.71
