trial,cold_or_warm,start_ts,end_ts,elapsed_seconds
1,cold,2026-08-10T14:11:19.7866986+05:30,2026-08-10T14:12:55.6030485+05:30,93.73
2,warm,2026-08-10T14:12:59.8746255+05:30,2026-08-10T14:13:06.9722007+05:30,4.97
3,warm,2026-08-10T14:13:11.1097786+05:30,2026-08-10T14:13:15.4103785+05:30,2.18
4,warm,2026-08-10T14:13:19.7116859+05:30,2026-08-10T14:13:24.1080542+05:30,2.19
5,warm,2026-08-10T14:13:28.4329753+05:30,2026-08-10T14:13:33.2398858+05:30,2.34
6,warm,2026-08-10T14:13:37.6092495+05:30,2026-08-10T14:13:41.9384537+05:30,2.12
7,warm,2026-08-10T14:13:46.1296946+05:30,2026-08-10T14:13:50.5239670+05:30,2.13
8,warm,2026-08-10T14:13:54.8191355+05:30,2026-08-10T14:13:59.4691891+05:30,2.16
9,warm,2026-08-10T14:14:03.7110093+05:30,2026-08-10T14:14:08.1202298+05:30,2.31
10,warm,2026-08-10T14:14:12.3054360+05:30,2026-08-10T14:14:16.7332475+05:30,2.23
11,warm,2026-08-10T14:14:21.0214731+05:30,2026-08-10T14:14:30.6255111+05:30,7.43
12,warm,2026-08-10T14:14:34.8047038+05:30,2026-08-10T14:14:39.3153115+05:30,2.18
13,warm,2026-08-10T14:14:43.5077028+05:30,2026-08-10T14:14:48.0208940+05:30,2.3
14,warm,2026-08-10T14:14:52.3163171+05:30,2026-08-10T14:14:56.6277687+05:30,2.1
15,warm,2026-08-10T14:15:00.9159534+05:30,2026-08-10T14:15:05.4318886+05:30,2.22
