trial,start_ts,end_ts,elapsed_seconds
1,2026-08-10T14:15:12.2298570+05:30,2026-08-10T14:15:48.9701957+05:30,2.07
2,2026-08-10T14:15:53.9633540+05:30,2026-08-10T14:16:30.1579188+05:30,1.94
3,2026-08-10T14:16:35.1218827+05:30,2026-08-10T14:16:50.2417281+05:30,1.94
4,2026-08-10T14:16:55.1255883+05:30,2026-08-10T14:17:31.2660893+05:30,1.86
5,2026-08-10T14:17:36.3138676+05:30,2026-08-10T14:17:51.0981530+05:30,1.97
6,2026-08-10T14:17:56.0119804+05:30,2026-08-10T14:18:32.4757795+05:30,1.85
7,2026-08-10T14:18:37.4954775+05:30,2026-08-10T14:18:50.2717813+05:30,1.97
8,2026-08-10T14:18:55.2318035+05:30,2026-08-10T14:19:31.0665407+05:30,1.96
9,2026-08-10T14:19:35.9996186+05:30,2026-08-10T14:19:48.5623483+05:30,1.86
10,2026-08-10T14:19:53.4020066+05:30,2026-08-10T14:20:29.1722731+05:30,1.96
11,2026-08-10T14:20:34.0674688+05:30,2026-08-10T14:20:48.5981879+05:30,1.97
12,2026-08-10T14:20:53.6660966+05:30,2026-08-10T14:21:29.8845941+05:30,2.17
13,2026-08-10T14:21:34.8046826+05:30,2026-08-10T14:21:49.0741577+05:30,1.84
14,2026-08-10T14:21:53.9747725+05:30,2026-08-10T14:22:30.2547452+05:30,2.24
15,2026-08-10T14:22:35.2275581+05:30,2026-08-10T14:22:49.3348163+05:30,1.82
