trial,direction,from_replicas,to_replicas,start_ts,end_ts,elapsed_seconds
1,scale_out,1,3,2026-08-10T14:22:56.5338168+05:30,2026-08-10T14:23:03.3074834+05:30,4.87
1,scale_in,3,1,2026-08-10T14:23:03.3233097+05:30,2026-08-10T14:23:07.5992657+05:30,2.19
2,scale_out,1,3,2026-08-10T14:23:07.6100211+05:30,2026-08-10T14:23:19.8188983+05:30,10.13
2,scale_in,3,1,2026-08-10T14:23:19.8227742+05:30,2026-08-10T14:23:24.2284454+05:30,2.13
3,scale_out,1,3,2026-08-10T14:23:24.2304930+05:30,2026-08-10T14:23:42.2188075+05:30,15.81
3,scale_in,3,1,2026-08-10T14:23:42.2220156+05:30,2026-08-10T14:23:46.9121450+05:30,2.41
4,scale_out,1,3,2026-08-10T14:23:46.9187074+05:30,2026-08-10T14:23:59.6106510+05:30,10.41
4,scale_in,3,1,2026-08-10T14:23:59.6180070+05:30,2026-08-10T14:24:04.0222789+05:30,2.1
5,scale_out,1,3,2026-08-10T14:24:04.0222789+05:30,2026-08-10T14:24:19.5295024+05:30,13.23
5,scale_in,3,1,2026-08-10T14:24:19.5369669+05:30,2026-08-10T14:24:23.9090169+05:30,2.02
6,scale_out,1,3,2026-08-10T14:24:23.9149752+05:30,2026-08-10T14:24:36.3416319+05:30,10.23
6,scale_in,3,1,2026-08-10T14:24:36.3416319+05:30,2026-08-10T14:24:41.0150182+05:30,2.41
7,scale_out,1,3,2026-08-10T14:24:41.0237016+05:30,2026-08-10T14:24:56.3288691+05:30,12.93
7,scale_in,3,1,2026-08-10T14:24:56.3380996+05:30,2026-08-10T14:25:00.7123459+05:30,2.25
8,scale_out,1,3,2026-08-10T14:25:00.7229911+05:30,2026-08-10T14:25:16.3179026+05:30,13.2
8,scale_in,3,1,2026-08-10T14:25:16.3241322+05:30,2026-08-10T14:25:21.5972603+05:30,2.46
9,scale_out,1,3,2026-08-10T14:25:21.6065465+05:30,2026-08-10T14:25:37.1967061+05:30,13.2
9,scale_in,3,1,2026-08-10T14:25:37.2033221+05:30,2026-08-10T14:25:41.9058030+05:30,2.39
10,scale_out,1,3,2026-08-10T14:25:41.9165848+05:30,2026-08-10T14:25:57.1263579+05:30,13.03
10,scale_in,3,1,2026-08-10T14:25:57.1341360+05:30,2026-08-10T14:26:01.5219161+05:30,2.21
11,scale_out,1,3,2026-08-10T14:26:01.5255463+05:30,2026-08-10T14:26:14.1181128+05:30,10.3
11,scale_in,3,1,2026-08-10T14:26:14.1231005+05:30,2026-08-10T14:26:18.3876626+05:30,1.99
12,scale_out,1,3,2026-08-10T14:26:18.3939865+05:30,2026-08-10T14:26:30.3168212+05:30,9.8
12,scale_in,3,1,2026-08-10T14:26:30.3252124+05:30,2026-08-10T14:26:34.8150845+05:30,2.2
13,scale_out,1,3,2026-08-10T14:26:34.8218149+05:30,2026-08-10T14:26:46.9967380+05:30,9.98
13,scale_in,3,1,2026-08-10T14:26:46.9984511+05:30,2026-08-10T14:26:51.2945781+05:30,2.1
14,scale_out,1,3,2026-08-10T14:26:51.3021136+05:30,2026-08-10T14:27:03.1050747+05:30,9.67
14,scale_in,3,1,2026-08-10T14:27:03.1112667+05:30,2026-08-10T14:27:07.7981062+05:30,2.48
15,scale_out,1,3,2026-08-10T14:27:07.8031034+05:30,2026-08-10T14:27:20.0086973+05:30,10.18
15,scale_in,3,1,2026-08-10T14:27:20.0138614+05:30,2026-08-10T14:27:24.7272574+05:30,2.3
