trial,cold_or_warm,start_ts,end_ts,elapsed_seconds
1,cold,2026-08-10T12:43:37.0883331+05:30,2026-08-10T12:43:44.4171163+05:30,5.27
2,warm,2026-08-10T12:43:48.3931956+05:30,2026-08-10T12:43:53.6110531+05:30,3.3
3,warm,2026-08-10T12:43:58.1058996+05:30,2026-08-10T12:44:03.0261077+05:30,2.67
4,warm,2026-08-10T12:44:07.6041463+05:30,2026-08-10T12:44:11.9806990+05:30,2.12
5,warm,2026-08-10T12:44:16.1738962+05:30,2026-08-10T12:44:20.7407397+05:30,2.25
6,warm,2026-08-10T12:44:24.8733872+05:30,2026-08-10T12:44:29.3477397+05:30,2.28
7,warm,2026-08-10T12:44:33.6775207+05:30,2026-08-10T12:44:40.7604787+05:30,4.84
8,warm,2026-08-10T12:44:44.7848214+05:30,2026-08-10T12:44:51.5880812+05:30,4.71
9,warm,2026-08-10T12:44:55.7255370+05:30,2026-08-10T12:44:59.8349857+05:30,2.12
10,warm,2026-08-10T12:45:03.9542445+05:30,2026-08-10T12:45:08.6696285+05:30,2.32
11,warm,2026-08-10T12:45:12.7846005+05:30,2026-08-10T12:45:17.1805265+05:30,2.18
12,warm,2026-08-10T12:45:21.2924619+05:30,2026-08-10T12:45:28.2890069+05:30,4.93
13,warm,2026-08-10T12:45:32.3687571+05:30,2026-08-10T12:45:39.5074917+05:30,4.93
14,warm,2026-08-10T12:45:43.5904945+05:30,2026-08-10T12:45:47.8783071+05:30,2.17
15,warm,2026-08-10T12:45:51.9513700+05:30,2026-08-10T12:45:56.3324052+05:30,2.25
