trial,start_ts,end_ts,elapsed_seconds
1,2026-08-10T12:46:02.8205230+05:30,2026-08-10T12:46:15.1862720+05:30,2.01
2,2026-08-10T12:46:20.0509644+05:30,2026-08-10T12:46:25.7596562+05:30,1.88
3,2026-08-10T12:46:30.4328561+05:30,2026-08-10T12:46:46.7246950+05:30,1.92
4,2026-08-10T12:46:51.4852833+05:30,2026-08-10T12:47:26.6220718+05:30,1.93
5,2026-08-10T12:47:31.4185014+05:30,2026-08-10T12:47:39.7000943+05:30,2.13
6,2026-08-10T12:47:44.6506521+05:30,2026-08-10T12:48:20.2009280+05:30,1.91
7,2026-08-10T12:48:25.1869688+05:30,2026-08-10T12:48:39.7909678+05:30,2.29
8,2026-08-10T12:48:44.7100765+05:30,2026-08-10T12:49:20.9151329+05:30,2.18
9,2026-08-10T12:49:26.0212380+05:30,2026-08-10T12:49:40.7849653+05:30,1.82
10,2026-08-10T12:49:45.5299209+05:30,2026-08-10T12:50:20.4826623+05:30,1.76
11,2026-08-10T12:50:25.1468120+05:30,2026-08-10T12:50:32.8346962+05:30,2.27
12,2026-08-10T12:50:37.6892436+05:30,2026-08-10T12:51:12.3616387+05:30,1.73
13,2026-08-10T12:51:17.3643362+05:30,2026-08-10T12:51:25.4114201+05:30,1.76
14,2026-08-10T12:51:30.1124203+05:30,2026-08-10T12:52:05.4841701+05:30,1.81
15,2026-08-10T12:52:10.2080228+05:30,2026-08-10T12:52:17.6765709+05:30,2.17
