trial,direction,from_replicas,to_replicas,start_ts,end_ts,elapsed_seconds
1,scale_out,1,3,2026-08-10T12:52:24.8836056+05:30,2026-08-10T12:52:32.3917877+05:30,4.99
1,scale_in,3,1,2026-08-10T12:52:32.4028627+05:30,2026-08-10T12:52:36.4517331+05:30,2.11
2,scale_out,1,3,2026-08-10T12:52:36.4598048+05:30,2026-08-10T12:52:43.2889268+05:30,4.78
2,scale_in,3,1,2026-08-10T12:52:43.2953175+05:30,2026-08-10T12:52:47.6409993+05:30,2.16
3,scale_out,1,3,2026-08-10T12:52:47.6457637+05:30,2026-08-10T12:52:57.8111677+05:30,7.97
3,scale_in,3,1,2026-08-10T12:52:57.8168687+05:30,2026-08-10T12:53:02.5134923+05:30,2.33
4,scale_out,1,3,2026-08-10T12:53:02.5258996+05:30,2026-08-10T12:53:15.2176343+05:30,10.38
4,scale_in,3,1,2026-08-10T12:53:15.2242843+05:30,2026-08-10T12:53:19.7574667+05:30,2.19
5,scale_out,1,3,2026-08-10T12:53:19.7674187+05:30,2026-08-10T12:53:29.3620719+05:30,7.46
5,scale_in,3,1,2026-08-10T12:53:29.3738955+05:30,2026-08-10T12:53:33.8402987+05:30,2.18
6,scale_out,1,3,2026-08-10T12:53:33.8474771+05:30,2026-08-10T12:53:43.4721293+05:30,7.52
6,scale_in,3,1,2026-08-10T12:53:43.4778869+05:30,2026-08-10T12:53:47.8382256+05:30,2.21
7,scale_out,1,3,2026-08-10T12:53:47.8459169+05:30,2026-08-10T12:53:57.7010068+05:30,7.58
7,scale_in,3,1,2026-08-10T12:53:57.7082319+05:30,2026-08-10T12:54:02.3921542+05:30,2.42
8,scale_out,1,3,2026-08-10T12:54:02.4071033+05:30,2026-08-10T12:54:12.3966311+05:30,7.75
8,scale_in,3,1,2026-08-10T12:54:12.4121245+05:30,2026-08-10T12:54:16.8407539+05:30,2.23
9,scale_out,1,3,2026-08-10T12:54:16.8505180+05:30,2026-08-10T12:54:26.8604246+05:30,7.81
9,scale_in,3,1,2026-08-10T12:54:26.8762649+05:30,2026-08-10T12:54:31.4237320+05:30,2.24
10,scale_out,1,3,2026-08-10T12:54:31.4303210+05:30,2026-08-10T12:54:41.2335857+05:30,7.58
10,scale_in,3,1,2026-08-10T12:54:41.2407650+05:30,2026-08-10T12:54:45.7407767+05:30,2.21
11,scale_out,1,3,2026-08-10T12:54:45.7455141+05:30,2026-08-10T12:54:55.4537867+05:30,7.57
11,scale_in,3,1,2026-08-10T12:54:55.4601603+05:30,2026-08-10T12:54:59.8293910+05:30,2.12
12,scale_out,1,3,2026-08-10T12:54:59.8362163+05:30,2026-08-10T12:55:09.6603902+05:30,7.56
12,scale_in,3,1,2026-08-10T12:55:09.6811852+05:30,2026-08-10T12:55:14.4530925+05:30,2.22
13,scale_out,1,3,2026-08-10T12:55:14.4603567+05:30,2026-08-10T12:55:24.6201636+05:30,7.81
13,scale_in,3,1,2026-08-10T12:55:24.6285022+05:30,2026-08-10T12:55:29.2218566+05:30,2.27
14,scale_out,1,3,2026-08-10T12:55:29.2347105+05:30,2026-08-10T12:55:39.0777730+05:30,7.56
14,scale_in,3,1,2026-08-10T12:55:39.0835650+05:30,2026-08-10T12:55:43.7488742+05:30,2.26
15,scale_out,1,3,2026-08-10T12:55:43.7554612+05:30,2026-08-10T12:55:53.6350429+05:30,7.52
15,scale_in,3,1,2026-08-10T12:55:53.6401968+05:30,2026-08-10T12:55:58.0544315+05:30,2.29
